"Story","Title","Result","Date","Stability","Duration (s)"
"Create an API demo with basic functions","Post a product","SUCCESS","2019-11-20T14:08:38.8396073+01:00[Europe/Berlin]","0.0","3.95"
"Create an API demo with basic functions","Get an existing product","SUCCESS","2019-11-20T14:08:42.7990169+01:00[Europe/Berlin]","0.0","0.91"
"Create an API demo with basic functions","Update an existing product","SUCCESS","2019-11-20T14:08:43.7155644+01:00[Europe/Berlin]","0.0","0.11"
"Create an API demo with basic functions","Delete an existing product","SUCCESS","2019-11-20T14:08:43.8282649+01:00[Europe/Berlin]","0.0","0.07"
