"Story","Title","Result","Date","Stability","Duration (s)"
"Create an API demo with basic functions","Post a product","SUCCESS","2019-11-20T15:04:14.7083531+01:00[Europe/Berlin]","0.0","4.82"
"Create an API demo with basic functions","Get an existing product","SUCCESS","2019-11-20T15:04:19.5407807+01:00[Europe/Berlin]","0.0","0.99"
"Create an API demo with basic functions","Update an existing product","SUCCESS","2019-11-20T15:04:20.5384936+01:00[Europe/Berlin]","0.0","0.11"
"Create an API demo with basic functions","Delete an existing product","SUCCESS","2019-11-20T15:04:20.6541838+01:00[Europe/Berlin]","0.0","0.07"
